,A,Z,mass_theory,mass_practice,excess,binding energy,beta decay,mass
420,44,26,40996.1,,,,,40996.1015625
421,44,27,41022.5,,,,,41022.5
422,45,12,42006.5,,,,,42006.5
423,45,13,41971.8,,,,,41971.80078125
424,45,14,41948.5,41947.3,37.213,315.043,21.89,41947.3
425,45,15,41926.8,41924.9,15.323,336.151,19.313,41924.9
426,45,16,41906.4,41905.1,-3.98959,354.681,14.3702,41905.1
427,45,17,41890.2,41890.2,-18.3597,368.269,11.411,41890.2
428,45,18,41878.0,41878.3,-29.7708,378.898,6.84484,41878.3
429,45,19,41869.5,41870.9,-36.6156,384.96,4.19651,41870.9
430,45,20,41864.6,41866.2,-40.8122,388.374,0.259025,41866.2
